name,lat,lng,title,imageURL
香川県観音寺市,34.0889,133.5935,『結城友奈は勇者である』シリーズ,https://animetourism88.com/wp-content/uploads/2023/12/YukiYuna_main.jpg
香川県土庄町,34.5117,134.1844,からかい上手の高木さん３,https://animetourism88.com/wp-content/uploads/2023/09/103_3_mainvisual_ferry_noriba_r3.jpg
愛媛県松山市,33.8923,132.7088,がんばっていきまっしょい,https://animetourism88.com/wp-content/uploads/2025/02/%E3%81%8C%E3%82%93%E3%81%B0%E3%81%A3%E3%81%A6%E3%81%84%E3%81%8D%E3%81%BE%E3%81%A3%E3%81%97%E3%82%87%E3%81%84KV-scaled.jpg
高知県越知町,33.5387,133.2285,竜とそばかすの姫,https://animetourism88.com/wp-content/uploads/2023/12/4e03be6a655b8a44fde000e8e5be04cc.jpg
福岡県北九州市,33.8714,130.8561,ブルバスター,https://animetourism88.com/wp-content/uploads/2024/04/107_BULLUBUSTER_KV.jpg
長崎県長崎市,32.7586,129.7673,色づく世界の明日から,https://animetourism88.com/wp-content/uploads/2023/09/iahk_1_T2_0716_r-1.jpg
長崎県長崎市,32.7586,129.7673,きみの色,https://animetourism88.com/wp-content/uploads/2025/02/%E3%81%8D%E3%81%BF%E3%81%AE%E8%89%B2_KV-scaled.jpg
長崎県佐世保市,33.1962,129.4643,艦隊これくしょん －艦これ－,https://animetourism88.com/wp-content/uploads/2023/09/Kancolle_main.jpg
長崎県佐世保市,33.1962,129.4643,きみの色,https://animetourism88.com/wp-content/uploads/2025/02/Kimi_no_Iro_%E4%BD%90%E4%B8%96%E4%BF%9D%E5%B8%82.jpg
長崎県対馬市,34.4056,129.3318,アンゴルモア元寇合戦記,https://animetourism88.com/wp-content/uploads/2023/09/Fix0430_re.jpg
長崎県対馬市,34.4056,129.3318,GAMERA -Rebirth-,https://animetourism88.com/wp-content/uploads/2024/05/gr_sc.jpg
長崎県五島市,32.432,128.556,蒼の彼方のフォーリズム,https://animetourism88.com/wp-content/uploads/2023/09/Web_No96__KeyVisual_R2_RGB.jpg
長崎県五島市,32.432,128.556,きみの色,https://animetourism88.com/wp-content/uploads/2025/02/Kimi_no_Iro_%E4%BA%94%E5%B3%B6%E5%B8%82.jpg
長崎県新上五島町,32.9886,129.0634,蒼の彼方のフォーリズム,https://animetourism88.com/wp-content/uploads/2023/09/Web_.jpg
長崎県新上五島町,32.9886,129.0634,きみの色,https://animetourism88.com/wp-content/uploads/2025/02/Kimi_no_Iro_%E6%96%B0%E4%B8%8A%E4%BA%94%E5%B3%B6%E7%94%BA.jpg
熊本県人吉市・球磨地域ほか,32.195191,130.7649,夏目友人帳,https://animetourism88.com/wp-content/uploads/2025/02/%E5%A4%8F%E7%9B%AE%E5%8F%8B%E4%BA%BA%E5%B8%B3_%E3%82%AD%E3%83%BC%E3%83%93%E3%82%B8%E3%83%A5%E3%82%A2%E3%83%AB-scaled.jpg
熊本県芦北町,32.2965,130.5481,放課後ていぼう日誌,https://animetourism88.com/wp-content/uploads/2023/12/r.jpg
鹿児島県種子島,30.6095,130.9788,秒速5センチメートル,https://animetourism88.com/wp-content/uploads/2023/12/5cmpersec_tane_sub.jpg
沖縄県南城市,26.1624,127.8288,白い砂のアクアトープ,https://animetourism88.com/wp-content/uploads/2023/12/uthk_KEY2_FUKA.jpg
